Name,Price,Ratings,Product Link,Image URL
"Tecno Pova 7 Pro 5G (Dynamic Grey, 128 GB)","₹18,999₹21,99913% off",4.4,https://www.flipkart.com/tecno-pova-7-pro-5g-dynamic-grey-128-gb/p/itm0445d5aa95ced?pid=MOBHD8ZJC9RFGRDY&lid=LSTMOBHD8ZJC9RFGRDYY9NLCD&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=CLP_Filters&fm=organic&iid=en_Plfkx0LblaF4W6aR9tT8-WWNZnJPOHThYcpLTwMX51KfY7eWhktwJH19Z65UUe9AVm8ghxtKaTSc0xUJb6JeYfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=ri78pdap4g0000001751983566983,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/b/k/-original-imahdph8nqjyaarb.jpeg?q=70
"Tecno Pova 7 5G (Geek Black, 128 GB)","₹14,999₹18,99921% off",4.4,https://www.flipkart.com/tecno-pova-7-5g-geek-black-128-gb/p/itmf66f1c493f942?pid=MOBHD8ZJGGW3W9BP&lid=LSTMOBHD8ZJGGW3W9BPJMRMXR&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_2&otracker=CLP_Filters&fm=organic&iid=en_Plfkx0LblaF4W6aR9tT8-WWNZnJPOHThYcpLTwMX51LohMmv1CkZDSu2TA9ynt5csWPOnOCBFat9bYdZCCgSm_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=ri78pdap4g0000001751983566983,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/j/l/-original-imahdph7mrnh738h.jpeg?q=70
"Infinix Note 50s 5G+ (Titanium Grey, 128 GB)","₹14,999₹19,99925% off",4.2,https://www.flipkart.com/infinix-note-50s-5g-titanium-grey-128-gb/p/itmfbc62747a37e7?pid=MOBHD6FJ37GZFJBD&lid=LSTMOBHD6FJ37GZFJBDUEVZKR&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_3&otracker=CLP_Filters&fm=organic&iid=b816b0c6-21cc-40d8-85e4-5b618bd3a5b2.MOBHD6FJ37GZFJBD.SEARCH&ppt=None&ppn=None&ssid=ri78pdap4g0000001751983566983,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/s/z/-original-imahdg6srhwshjuz.jpeg?q=70
"Infinix Note 50s 5G+ (Burgundy Red, 128 GB)","₹15,999₹21,99927% off",4.3,https://www.flipkart.com/infinix-note-50s-5g-burgundy-red-128-gb/p/itmfbc62747a37e7?pid=MOBHBYYEG5Q5XVNC&lid=LSTMOBHBYYEG5Q5XVNCQNRRXW&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_4&otracker=CLP_Filters&fm=organic&iid=b816b0c6-21cc-40d8-85e4-5b618bd3a5b2.MOBHBYYEG5Q5XVNC.SEARCH&ppt=None&ppn=None&ssid=ri78pdap4g0000001751983566983,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/z/r/-original-imahdg6skhhb5yeg.jpeg?q=70
"Infinix Note 40 5G (Racing Grey, 256 GB)","₹15,999₹24,99936% off",4.5,https://www.flipkart.com/infinix-note-40-5g-racing-grey-256-gb/p/itm72c4c7b7d8834?pid=MOBH4QCGMFY8ZY8B&lid=LSTMOBH4QCGMFY8ZY8B1ZWPF8&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=CLP_Filters&fm=organic&iid=b816b0c6-21cc-40d8-85e4-5b618bd3a5b2.MOBH4QCGMFY8ZY8B.SEARCH&ppt=None&ppn=None&ssid=ri78pdap4g0000001751983566983,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/c/e/-original-imah6yjze5cmh4qw.jpeg?q=70
"Infinix Note 50x 5G+ (Sea Breeze Green, 128 GB)","₹11,499₹14,99923% off",4.4,https://www.flipkart.com/infinix-note-50x-5g-sea-breeze-green-128-gb/p/itm094fc01ad674b?pid=MOBHAYMDEZH8RUM8&lid=LSTMOBHAYMDEZH8RUM8ITPPWO&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_6&otracker=CLP_Filters&fm=organic&iid=b816b0c6-21cc-40d8-85e4-5b618bd3a5b2.MOBHAYMDEZH8RUM8.SEARCH&ppt=None&ppn=None&ssid=ri78pdap4g0000001751983566983,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/8/m/o/-original-imahdg5wd5ek7nyw.jpeg?q=70
"Infinix GT 30 Pro 5G+ (Dark Flare, 256 GB)","₹24,999₹31,99921% off",4.4,https://www.flipkart.com/infinix-gt-30-pro-5g-dark-flare-256-gb/p/itmd4bc1852572b9?pid=MOBHC645WDP8VHJX&lid=LSTMOBHC645WDP8VHJXT0HRMI&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_7&otracker=CLP_Filters&fm=organic&iid=b816b0c6-21cc-40d8-85e4-5b618bd3a5b2.MOBHC645WDP8VHJX.SEARCH&ppt=None&ppn=None&ssid=ri78pdap4g0000001751983566983,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/k/v/-original-imahddjygedpwhhs.jpeg?q=70
"Infinix Note 50s 5G+ (Marine Drift, 128 GB)","₹14,999₹19,99925% off",4.3,https://www.flipkart.com/infinix-note-50s-5g-marine-drift-128-gb/p/itmfbc62747a37e7?pid=MOBHD6FJZUNDB3KG&lid=LSTMOBHD6FJZUNDB3KGZFU37R&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_8&otracker=CLP_Filters&fm=organic&iid=b816b0c6-21cc-40d8-85e4-5b618bd3a5b2.MOBHD6FJZUNDB3KG.SEARCH&ppt=None&ppn=None&ssid=ri78pdap4g0000001751983566983,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/z/s/-original-imahdg6s9n8fahte.jpeg?q=70
"Infinix Note 50s 5G+ (Burgundy Red, 256 GB)","₹17,999₹24,99928% off",4.4,https://www.flipkart.com/infinix-note-50s-5g-burgundy-red-256-gb/p/itmfbc62747a37e7?pid=MOBHBYYEP8ADSFDX&lid=LSTMOBHBYYEP8ADSFDXBNJCJ2&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_9&otracker=CLP_Filters&fm=organic&iid=b816b0c6-21cc-40d8-85e4-5b618bd3a5b2.MOBHBYYEP8ADSFDX.SEARCH&ppt=None&ppn=None&ssid=ri78pdap4g0000001751983566983,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/d/h/-original-imahbbmxgfqbderz.jpeg?q=70
"Infinix Note 50x 5G+ (Titanium Grey, 128 GB)","₹12,999₹16,99923% off",4.1,https://www.flipkart.com/infinix-note-50x-5g-titanium-grey-128-gb/p/itm094fc01ad674b?pid=MOBHAYMDQBGZHY8C&lid=LSTMOBHAYMDQBGZHY8C63FLV8&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_10&otracker=CLP_Filters&fm=organic&iid=b816b0c6-21cc-40d8-85e4-5b618bd3a5b2.MOBHAYMDQBGZHY8C.SEARCH&ppt=None&ppn=None&ssid=ri78pdap4g0000001751983566983,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/1/y/-original-imahdg5wy6gyskwt.jpeg?q=70
"Infinix Note 50s 5G+ (Marine Drift, 128 GB)","₹15,999₹21,99927% off",4.4,https://www.flipkart.com/infinix-note-50s-5g-marine-drift-128-gb/p/itmfbc62747a37e7?pid=MOBHBYYEMPC8GGKK&lid=LSTMOBHBYYEMPC8GGKKX7PNZI&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_11&otracker=CLP_Filters&fm=organic&iid=b816b0c6-21cc-40d8-85e4-5b618bd3a5b2.MOBHBYYEMPC8GGKK.SEARCH&ppt=None&ppn=None&ssid=ri78pdap4g0000001751983566983,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/z/s/-original-imahdg6s9n8fahte.jpeg?q=70
